,shop_name,shop_address,shop_lat,shop_lng,types,zip_code
110,ALDI,"615 Gallatin Ave, Nashville, TN 37206",36.1832883,-86.7475518,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37206
111,ALDI,"405 American Rd, Nashville, TN 37209",36.1449595,-86.8740361,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37209
112,ALDI,"1911 Ransom Pl, Nashville, TN 37217",36.088124,-86.6508077,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37217
113,ALDI,"4751 Lebanon Pike, Hermitage, TN 37076",36.2142692,-86.5917351,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37076
114,ALDI,"135 S. Gallatin Pike, Madison, TN 37115",36.2616696,-86.7115143,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37115
115,ALDI,"3758 Nolensville Pike, Nashville, TN 37211",36.0902874,-86.7323144,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37211
116,ALDI,"3758 Nolensville Pike, Nashville, TN 37211",36.0902874,-86.7323144,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37211
117,ALDI,"7035 Hwy 70 S, Nashville, TN 37221",36.0750427,-86.917644,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37221
118,ALDI,"405 American Rd, Nashville, TN 37209",36.1449595,-86.8740361,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37209
119,ALDI,"7117 Southpoint Pkwy, Brentwood, TN 37027",35.994983,-86.68686,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37027
120,ALDI,"1911 Ransom Pl, Nashville, TN 37217",36.088124,-86.6508077,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37217
121,ALDI,"615 Gallatin Ave, Nashville, TN 37206",36.1832883,-86.7475518,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37206
122,ALDI,"1701 Mallory Ln, Brentwood, TN 37027",35.9660746,-86.8148948,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37027
123,ALDI,"4751 Lebanon Pike, Hermitage, TN 37076",36.2142692,-86.5917351,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37076
124,ALDI,"209 S Royal Oaks Blvd, Franklin, TN 37064",35.9120197,-86.8318444,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37064
125,ALDI,"135 S. Gallatin Pike, Madison, TN 37115",36.2616696,-86.7115143,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37115
126,Bi-Rite,"717 25th Ave N, Nashville, TN 37208",36.1594967,-86.8140176,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37208
127,Bi-Rite,"3116 Belmont Blvd, Nashville, TN 37212",36.117707,-86.7967994,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37212
128,Bi-Rite,"3302 Nolensville Pike, Nashville, TN 37211",36.1014506,-86.7401198,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37211
129,Bi-Rite,"3116 Belmont Blvd, Nashville, TN 37212",36.117707,-86.7967994,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37212
130,Bi-Rite,"3302 Nolensville Pike, Nashville, TN 37211",36.1014506,-86.7401198,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37211
131,Bi-Rite,"717 25th Ave N, Nashville, TN 37208",36.1594967,-86.8140176,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37208
132,Bi-Rite,"3116 Belmont Blvd, Nashville, TN 37212",36.117707,-86.7967994,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37212
133,Bi-Rite,"3302 Nolensville Pike, Nashville, TN 37211",36.1014506,-86.7401198,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37211
134,Bi-Rite,"717 25th Ave N, Nashville, TN 37208",36.1594967,-86.8140176,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37208
135,Bi-Rite,"3116 Belmont Blvd, Nashville, TN 37212",36.117707,-86.7967994,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37212
136,Bi-Rite,"717 25th Ave N, Nashville, TN 37208",36.1594967,-86.8140176,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37208
137,Bi-Rite,"3116 Belmont Blvd, Nashville, TN 37212",36.117707,-86.7967994,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37212
138,Bi-Rite,"3302 Nolensville Pike, Nashville, TN 37211",36.1014506,-86.7401198,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37211
139,Bi-Rite,"3116 Belmont Blvd, Nashville, TN 37212",36.117707,-86.7967994,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37212
140,Bi-Rite,"3302 Nolensville Pike, Nashville, TN 37211",36.1014506,-86.7401198,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37211
141,Bi-Rite,"717 25th Ave N, Nashville, TN 37208",36.1594967,-86.8140176,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37208
142,Bi-Rite,"3116 Belmont Blvd, Nashville, TN 37212",36.117707,-86.7967994,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37212
143,Bi-Rite,"3302 Nolensville Pike, Nashville, TN 37211",36.1014506,-86.7401198,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37211
144,Bi-Rite,"717 25th Ave N, Nashville, TN 37208",36.1594967,-86.8140176,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37208
145,Bi-Rite,"3116 Belmont Blvd, Nashville, TN 37212",36.117707,-86.7967994,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37212
146,Bi-Rite,"717 25th Ave N, Nashville, TN 37208",36.1594967,-86.8140176,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37208
147,Bi-Rite,"3302 Nolensville Pike, Nashville, TN 37211",36.1014506,-86.7401198,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37211
148,Bi-Rite,"3116 Belmont Blvd, Nashville, TN 37212",36.117707,-86.7967994,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37212
149,Bi-Rite,"717 25th Ave N, Nashville, TN 37208",36.1594967,-86.8140176,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37208
150,Bi-Rite,"3302 Nolensville Pike, Nashville, TN 37211",36.1014506,-86.7401198,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37211
151,Bi-Rite,"717 25th Ave N, Nashville, TN 37208",36.1594967,-86.8140176,"['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37208
152,Bi-Rite,"3116 Belmont Blvd, Nashville, TN 37212",36.117707,-86.7967994,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",37212
